"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","staticLabelTest()","","Tue Jul 01 05:07:07 GMT 2025","passed","Tue Jul 01 05:07:07 GMT 2025","","tests.allure_tests.LabelsTests","tests.allure_tests.LabelsTests","staticLabelTest"
"","2254","lamdaStepTest()","","Tue Jul 01 05:07:07 GMT 2025","broken","Tue Jul 01 05:07:09 GMT 2025","","tests.allure_tests.StepTest","tests.allure_tests.StepTest","lamdaStepTest"
"","453","selenideUploadTests()","","Tue Jul 01 05:08:02 GMT 2025","passed","Tue Jul 01 05:08:02 GMT 2025","","tests.selenide_files_tests.SelenideFilesTests","tests.selenide_files_tests.SelenideFilesTests","selenideUploadTests"
"","2696","testAlfa()","","Tue Jul 01 05:06:52 GMT 2025","broken","Tue Jul 01 05:06:55 GMT 2025","","tests.FirstLesson.AlphaBankTests","tests.FirstLesson.AlphaBankTests","testAlfa"
"","6","xlsParseTest()","","Tue Jul 01 05:08:00 GMT 2025","broken","Tue Jul 01 05:08:00 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","xlsParseTest"
"","1","dynamicLabelTest()","","Tue Jul 01 05:07:07 GMT 2025","passed","Tue Jul 01 05:07:07 GMT 2025","","tests.allure_tests.LabelsTests","tests.allure_tests.LabelsTests","dynamicLabelTest"
"","113","unsuccessfullBftLoginTest()","","Tue Jul 01 05:06:55 GMT 2025","broken","Tue Jul 01 05:06:55 GMT 2025","","tests.FirstLesson.LoginTests","tests.FirstLesson.LoginTests","unsuccessfullBftLoginTest"
"","11042","testBoxTest()","","Tue Jul 01 05:07:09 GMT 2025","failed","Tue Jul 01 05:07:20 GMT 2025","","tests.demoqa.HomeworkDemoQATests","tests.demoqa.HomeworkDemoQATests","testBoxTest"
"","36","csvParseTest()","","Tue Jul 01 05:07:54 GMT 2025","passed","Tue Jul 01 05:07:54 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","csvParseTest"
"","1167","dragAndDropTest()","","Tue Jul 01 05:07:37 GMT 2025","passed","Tue Jul 01 05:07:38 GMT 2025","","tests.githubTests.firstLesson.SecondHomework","tests.githubTests.firstLesson.SecondHomework","dragAndDropTest"
"","7278","successfulLoginTest()","","Tue Jul 01 05:06:55 GMT 2025","failed","Tue Jul 01 05:07:02 GMT 2025","","tests.FirstLesson.LoginTests","tests.FirstLesson.LoginTests","successfulLoginTest"
"","3570","lamdaStepTest()","","Tue Jul 01 05:07:03 GMT 2025","broken","Tue Jul 01 05:07:07 GMT 2025","","tests.allure_tests.AttachmentsSteps","tests.allure_tests.AttachmentsSteps","lamdaStepTest"
"","5","jsonParseTest()","","Tue Jul 01 05:07:55 GMT 2025","passed","Tue Jul 01 05:07:55 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","jsonParseTest"
"","164","dragAndDropDeprecatedTest()","","Tue Jul 01 05:07:38 GMT 2025","passed","Tue Jul 01 05:07:39 GMT 2025","","tests.githubTests.firstLesson.SecondHomework","tests.githubTests.firstLesson.SecondHomework","dragAndDropDeprecatedTest"
"","4536","testBoxTest()","","Tue Jul 01 05:07:20 GMT 2025","failed","Tue Jul 01 05:07:25 GMT 2025","","tests.demoqa.TestBoxTest","tests.demoqa.TestBoxTest","testBoxTest"
"","89","jsonParseImprovedTest()","","Tue Jul 01 05:07:54 GMT 2025","passed","Tue Jul 01 05:07:55 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","jsonParseImprovedTest"
"","2","zipParseTest()","","Tue Jul 01 05:07:54 GMT 2025","broken","Tue Jul 01 05:07:54 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","zipParseTest"
"","22","firstTest()","","Tue Jul 01 05:07:54 GMT 2025","passed","Tue Jul 01 05:07:54 GMT 2025","","tests.junit.FirstJunitTest","tests.junit.FirstJunitTest","firstTest"
"","51","StepsTest()","","Tue Jul 01 05:07:07 GMT 2025","passed","Tue Jul 01 05:07:07 GMT 2025","","tests.allure_tests.StepTest","tests.allure_tests.StepTest","StepsTest"
