"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7642","shouldFindSelenideRepositoryAtTheTop()","","Tue Jul 01 05:12:51 GMT 2025","passed","Tue Jul 01 05:12:59 GMT 2025","","tests.githubTests.secondLesson.SelenideRepositorySearch","tests.githubTests.secondLesson.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop"
"","68","jsonParseImprovedTest()","","Tue Jul 01 05:12:59 GMT 2025","passed","Tue Jul 01 05:12:59 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","jsonParseImprovedTest"
"","108","dragAndDropDeprecatedTest()","","Tue Jul 01 05:12:44 GMT 2025","passed","Tue Jul 01 05:12:44 GMT 2025","","tests.githubTests.firstLesson.SecondHomework","tests.githubTests.firstLesson.SecondHomework","dragAndDropDeprecatedTest"
"","2162","testBoxTest()","","Tue Jul 01 05:12:38 GMT 2025","passed","Tue Jul 01 05:12:40 GMT 2025","","tests.demoqa.TestBoxWithJavaFaker","tests.demoqa.TestBoxWithJavaFaker","testBoxTest"
"","699","successfulSearchTest()","","Tue Jul 01 05:12:13 GMT 2025","passed","Tue Jul 01 05:12:14 GMT 2025","","tests.FirstLesson.SearchTests","tests.FirstLesson.SearchTests","successfulSearchTest"
"","1","zipParseTest()","","Tue Jul 01 05:12:59 GMT 2025","broken","Tue Jul 01 05:12:59 GMT 2025","","tests.selenide_files_tests.FilesParsingTests","tests.selenide_files_tests.FilesParsingTests","zipParseTest"
"","5417","testBoxTest()","","Tue Jul 01 05:12:19 GMT 2025","passed","Tue Jul 01 05:12:25 GMT 2025","","tests.demoqa.HomeworkDemoQATests","tests.demoqa.HomeworkDemoQATests","testBoxTest"
"","275","selenideUploadTests()","","Tue Jul 01 05:13:07 GMT 2025","passed","Tue Jul 01 05:13:07 GMT 2025","","tests.selenide_files_tests.SelenideFilesTests","tests.selenide_files_tests.SelenideFilesTests","selenideUploadTests"
"","0","dynamicLabelTest()","","Tue Jul 01 05:12:17 GMT 2025","passed","Tue Jul 01 05:12:17 GMT 2025","","tests.allure_tests.LabelsTests","tests.allure_tests.LabelsTests","dynamicLabelTest"
"","23","StepsTest()","","Tue Jul 01 05:12:17 GMT 2025","passed","Tue Jul 01 05:12:17 GMT 2025","","tests.allure_tests.StepTest","tests.allure_tests.StepTest","StepsTest"
